loginId,message1,message2,message3
user1,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요
user2,자동이체가 안 됐어요,로그인이 안 돼요,인증번호가 안 와요
user3,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,로그인이 안 돼요
user4,수수료가 왜 빠졌는지 모르겠어요,로그인이 안 돼요,앱이 자꾸 종료돼요
user5,카드 결제가 두 번 됐어요,입금했는데 잔액이 안 보여요,거래내역이 안 떠요
user6,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,카드 결제가 두 번 됐어요
user7,이체했는데 안 갔어요,거래내역이 안 떠요,자동이체가 안 됐어요
user8,로그인이 안 돼요,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요
user9,이체했는데 안 갔어요,카드 결제가 두 번 됐어요,거래내역이 안 떠요
user10,인증번호가 안 와요,로그인이 안 돼요,거래내역이 안 떠요
user11,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요,이체했는데 안 갔어요
user12,로그인이 안 돼요,거래내역이 안 떠요,이체했는데 안 갔어요
user13,거래내역이 안 떠요,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?
user14,수수료가 왜 빠졌는지 모르겠어요,자동이체가 안 됐어요,인증번호가 안 와요
user15,이체했는데 안 갔어요,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요
user16,카드 결제가 두 번 됐어요,자동이체가 안 됐어요,수수료가 왜 빠졌는지 모르겠어요
user17,거래내역이 안 떠요,인증번호가 안 와요,자동이체가 안 됐어요
user18,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요,이체했는데 안 갔어요
user19,한도 초과라고 나오는데 왜죠?,자동이체가 안 됐어요,로그인이 안 돼요
user20,거래내역이 안 떠요,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요
user21,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요,이체했는데 안 갔어요
user22,앱이 자꾸 종료돼요,인증번호가 안 와요,로그인이 안 돼요
user23,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요
user24,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요,이체했는데 안 갔어요
user25,로그인이 안 돼요,자동이체가 안 됐어요,카드 결제가 두 번 됐어요
user26,한도 초과라고 나오는데 왜죠?,로그인이 안 돼요,인증번호가 안 와요
user27,인증번호가 안 와요,이체했는데 안 갔어요,거래내역이 안 떠요
user28,앱이 자꾸 종료돼요,수수료가 왜 빠졌는지 모르겠어요,로그인이 안 돼요
user29,카드 결제가 두 번 됐어요,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요
user30,수수료가 왜 빠졌는지 모르겠어요,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?
user31,카드 결제가 두 번 됐어요,로그인이 안 돼요,입금했는데 잔액이 안 보여요
user32,수수료가 왜 빠졌는지 모르겠어요,이체했는데 안 갔어요,카드 결제가 두 번 됐어요
user33,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,로그인이 안 돼요
user34,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요
user35,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요
user36,앱이 자꾸 종료돼요,자동이체가 안 됐어요,이체했는데 안 갔어요
user37,수수료가 왜 빠졌는지 모르겠어요,앱이 자꾸 종료돼요,한도 초과라고 나오는데 왜죠?
user38,거래내역이 안 떠요,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요
user39,입금했는데 잔액이 안 보여요,앱이 자꾸 종료돼요,카드 결제가 두 번 됐어요
user40,입금했는데 잔액이 안 보여요,인증번호가 안 와요,자동이체가 안 됐어요
user41,인증번호가 안 와요,입금했는데 잔액이 안 보여요,카드 결제가 두 번 됐어요
user42,이체했는데 안 갔어요,로그인이 안 돼요,카드 결제가 두 번 됐어요
user43,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?,인증번호가 안 와요
user44,자동이체가 안 됐어요,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요
user45,로그인이 안 돼요,자동이체가 안 됐어요,입금했는데 잔액이 안 보여요
user46,한도 초과라고 나오는데 왜죠?,자동이체가 안 됐어요,입금했는데 잔액이 안 보여요
user47,인증번호가 안 와요,자동이체가 안 됐어요,입금했는데 잔액이 안 보여요
user48,앱이 자꾸 종료돼요,수수료가 왜 빠졌는지 모르겠어요,입금했는데 잔액이 안 보여요
user49,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?,거래내역이 안 떠요
user50,수수료가 왜 빠졌는지 모르겠어요,인증번호가 안 와요,이체했는데 안 갔어요
user51,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요
user52,한도 초과라고 나오는데 왜죠?,자동이체가 안 됐어요,입금했는데 잔액이 안 보여요
user53,거래내역이 안 떠요,앱이 자꾸 종료돼요,입금했는데 잔액이 안 보여요
user54,이체했는데 안 갔어요,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요
user55,거래내역이 안 떠요,로그인이 안 돼요,입금했는데 잔액이 안 보여요
user56,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요,로그인이 안 돼요
user57,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요,로그인이 안 돼요
user58,이체했는데 안 갔어요,수수료가 왜 빠졌는지 모르겠어요,거래내역이 안 떠요
user59,로그인이 안 돼요,이체했는데 안 갔어요,거래내역이 안 떠요
user60,카드 결제가 두 번 됐어요,거래내역이 안 떠요,인증번호가 안 와요
user61,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요,이체했는데 안 갔어요
user62,로그인이 안 돼요,수수료가 왜 빠졌는지 모르겠어요,인증번호가 안 와요
user63,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요,로그인이 안 돼요
user64,거래내역이 안 떠요,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?
user65,이체했는데 안 갔어요,거래내역이 안 떠요,앱이 자꾸 종료돼요
user66,로그인이 안 돼요,이체했는데 안 갔어요,자동이체가 안 됐어요
user67,인증번호가 안 와요,거래내역이 안 떠요,카드 결제가 두 번 됐어요
user68,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요,자동이체가 안 됐어요
user69,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요,앱이 자꾸 종료돼요
user70,앱이 자꾸 종료돼요,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요
user71,한도 초과라고 나오는데 왜죠?,수수료가 왜 빠졌는지 모르겠어요,입금했는데 잔액이 안 보여요
user72,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요,로그인이 안 돼요
user73,거래내역이 안 떠요,인증번호가 안 와요,이체했는데 안 갔어요
user74,한도 초과라고 나오는데 왜죠?,로그인이 안 돼요,자동이체가 안 됐어요
user75,로그인이 안 돼요,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요
user76,수수료가 왜 빠졌는지 모르겠어요,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요
user77,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요,로그인이 안 돼요
user78,로그인이 안 돼요,입금했는데 잔액이 안 보여요,인증번호가 안 와요
user79,자동이체가 안 됐어요,입금했는데 잔액이 안 보여요,이체했는데 안 갔어요
user80,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,앱이 자꾸 종료돼요
